indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
411,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Drama,Puberty and initiation,Socialization and education,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Marriage,Sex (not extramarital),.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
412,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Personality traits,Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
413,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,Socialization and education,.,Menstruation,Drives and emotions,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,21-30 listeners,Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
414,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Flora,Interpersonal relations (includes love),Marriage,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
415,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Agriculture,Extramarital sex relations (adultery),Marriage,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
416,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Marriage,Gender roles and issues,"Status, role, and prestige",.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
417,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Recreational and non-therapeutic drugs,Acculturation and culture contact,Personality traits,Norms,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
418,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Crimes (violations of laws and rules),Fauna,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
419,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Puberty and initiation,"Status, role, and prestige",Marriage,Labor,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
420,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Drama,Socialization and education,Puberty and initiation,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
421,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Socialization and education,Puberty and initiation,.,Adornment,Marriage,Clothing,Interpersonal relations (includes love),Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,Limbs (incl. hands/feet),.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
422,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Drama,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Socialization and education,Puberty and initiation,.,"Food processing (includes food preparation, storage, and preservation)",Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
423,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Pregnancy and childbirth,Daily routine,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
424,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Gift giving,Puberty and initiation,.,.,Marriage,"Status, role, and prestige",War,Adornment,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
425,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Drama,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Socialization and education,Puberty and initiation,.,Marriage,Sex (not extramarital),Agriculture,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
426,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Socialization and education,Puberty and initiation,.,"Family (includes nuclear family, polygamy, adoption)",Sex (not extramarital),Pregnancy and childbirth,Infancy and childhood,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
427,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Drama,Puberty and initiation,Socialization and education,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Marriage,Sex (not extramarital),.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
428,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Pregnancy and childbirth,Sex (not extramarital),.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
429,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Socialization and education,Puberty and initiation,.,Adornment,Marriage,Offenses and sanctions,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
430,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Socialization and education,Puberty and initiation,.,Fauna,Marriage,Offenses and sanctions,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
431,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Gift giving,Puberty and initiation,Socialization and education,.,Fauna,Personality traits,Food consumption,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
432,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Marriage,"Status, role, and prestige",Fauna,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
433,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Fauna,Ideas about nature and people,Marriage,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
434,"Food processing (includes food preparation, storage, and preservation)",Labor,.,"Food processing (includes food preparation, storage, and preservation)",Labor,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
435,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
436,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
437,"Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
438,War,.,.,War,.,.,Drives and emotions,War,.,War,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
439,Travel and transportation,Settlements,.,Inter-community relations,.,.,.,.,.,Fauna,Hunting and trapping,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
440,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,Traditional history,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
441,War,.,.,War,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",War,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,.,.,.,.,.,.,.,.,.,Male,.,"Raiders, warriors, head-hunters, etc.",.,.,.,.,.,.,.,.,.,.,.
442,War,.,.,War,.,.,Intra-community relations,War,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,Male,.,"Raiders, warriors, head-hunters, etc.",.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,Membranophone,.,.
